date,open,high,low,close,vol,turn
2015/10/29,35.20,36.85,35.20,36.18,930538,67267600.00
2015/10/30,36.45,37.45,35.10,37.15,1102356,80784448.00
2015/11/02,35.95,39.95,35.55,38.00,1392485,105795760.00
2015/11/03,37.73,38.45,36.75,37.71,940616,70730976.00
2015/11/04,37.91,39.40,37.91,38.91,1411065,108909880.00
2015/11/05,38.95,39.64,38.21,38.86,1273932,99176424.00
2015/11/06,38.75,39.45,38.75,39.42,947984,74228400.00
2015/11/09,39.15,40.61,37.89,40.33,1619889,128100320.00
2015/11/10,39.95,42.70,39.50,41.24,1321827,109714904.00
2015/11/11,40.65,43.29,40.54,43.26,1469074,124233600.00
2015/11/12,43.85,44.44,42.46,43.94,1334780,115794624.00
2015/11/13,43.12,43.64,40.46,40.87,1675064,140788528.00
2015/11/16,39.20,41.43,38.96,41.35,699954,57139780.00
2015/11/17,41.70,42.40,39.95,40.01,1878849,153392928.00
2015/11/18,40.00,40.15,37.55,37.76,1602669,124534960.00
2015/11/19,37.71,40.35,37.71,40.25,1378721,108162008.00
2015/11/20,40.69,40.69,39.60,40.00,899908,72361864.00
2015/11/23,40.00,40.84,39.40,39.63,898744,72012568.00
2015/11/24,39.63,41.04,39.63,40.95,1086040,87492200.00
2015/11/25,41.10,42.21,40.95,41.64,1152889,96084000.00
2015/11/26,41.90,41.95,40.65,40.96,949302,78858872.00
2015/11/27,41.03,41.45,36.86,37.39,1862594,144710912.00
2015/11/30,37.63,39.43,36.95,38.77,1792252,137965696.00
2015/12/01,38.95,42.65,38.77,42.54,4508003,381958912.00
2015/12/02,41.35,41.35,38.28,39.65,2948411,233594800.00
2015/12/03,39.65,41.12,39.56,40.15,1427537,114492896.00
2015/12/04,40.08,41.20,38.95,39.58,1378792,110600536.00
2015/12/07,39.90,40.94,38.84,39.47,1668079,132165640.00
2015/12/08,39.48,39.60,38.32,38.90,1052529,82021008.00
2015/12/09,38.52,38.89,38.00,38.18,982300,75299608.00
2015/12/10,37.75,38.45,37.30,37.58,1050126,79333008.00
2015/12/11,37.58,38.75,36.96,38.11,820398,62681264.00
2015/12/14,37.94,39.25,37.58,39.13,848314,66121008.00
2015/12/15,38.60,39.16,38.60,38.96,612887,47784736.00
2015/12/16,38.96,39.56,38.76,39.31,726727,56981056.00
2015/12/17,39.40,40.43,39.13,40.41,1198955,95726664.00
2015/12/18,40.50,40.92,39.71,39.90,1137126,91523152.00
2015/12/21,39.29,39.89,38.60,39.08,849041,66377828.00
2015/12/22,39.08,39.64,38.74,39.27,1266517,99299880.00
2015/12/23,39.15,39.15,37.85,37.99,1776058,136256576.00
2015/12/24,38.05,38.39,36.89,38.24,1250572,93870984.00
2015/12/25,37.93,38.84,37.90,38.25,808580,62131212.00
2015/12/28,38.40,39.24,38.13,38.23,1227996,95268880.00
2015/12/29,38.35,38.51,36.97,37.45,1481644,111105520.00
2015/12/30,37.42,38.19,36.98,38.06,823070,61786372.00
2015/12/31,38.45,39.95,38.19,39.09,2066073,163188128.00
2016/01/04,39.70,39.70,35.17,35.69,987748,74343744.00
2016/01/05,33.95,36.45,33.70,34.59,1599817,112988168.00
2016/01/06,34.60,35.34,33.91,35.12,923291,63895408.00
2016/01/07,34.44,34.44,31.60,31.62,354696,23516096.00
2016/01/08,32.00,33.50,30.01,32.47,1590038,101926864.00
2016/01/11,31.95,31.95,29.22,29.22,1834220,110523976.00
2016/01/12,29.84,29.92,27.45,29.07,1460111,83729880.00
2016/01/13,29.35,29.85,27.68,28.44,1135892,64876320.00
2016/01/14,27.45,29.29,26.74,28.81,1913485,108130064.00
2016/01/15,28.64,28.64,26.70,26.86,1367097,75938568.00
2016/01/18,25.95,27.53,25.45,27.11,948308,51295256.00
2016/01/19,27.11,28.40,26.71,28.23,1299953,72615936.00
2016/01/20,28.25,29.45,27.87,28.64,1727304,99973088.00
2016/01/21,28.08,28.98,27.23,27.41,1007136,56835476.00
2016/01/22,27.41,28.05,26.95,27.70,929631,51190140.00
2016/01/25,28.25,28.85,28.03,28.59,739377,42079912.00
2016/01/26,28.40,29.61,25.95,27.09,1528848,87100768.00
2016/01/27,26.95,27.50,24.75,25.94,1364622,71207992.00
2016/01/28,25.53,26.55,25.20,25.60,805083,41769700.00
2016/01/29,25.60,26.95,23.95,26.46,1986252,101344056.00
2016/02/01,26.35,26.35,24.92,25.28,903379,46569024.00
2016/02/02,25.24,26.55,25.22,26.28,723169,37909072.00
2016/02/03,25.83,26.85,25.83,26.66,628676,33166946.00
2016/02/04,26.89,27.65,26.66,27.42,673280,36838624.00
2016/02/05,27.45,29.95,27.28,29.04,1615309,92822016.00
2016/02/15,26.95,28.78,26.95,28.36,835708,46925892.00
2016/02/16,28.44,29.69,28.43,29.18,995496,58429048.00
2016/02/17,29.02,29.84,28.80,29.47,1042440,61218840.00
2016/02/18,29.84,30.29,29.47,29.66,1483181,88703888.00
2016/02/19,29.65,30.19,29.35,29.69,1108021,65683520.00
2016/02/22,29.96,32.17,29.96,31.29,1761105,109923200.00
2016/02/23,31.35,31.85,30.88,31.44,888381,55605424.00
2016/02/24,31.44,32.15,30.95,32.09,1057498,66488448.00
2016/02/25,32.09,32.09,28.87,28.87,1453199,86845216.00
2016/02/26,29.20,29.48,28.30,28.92,728034,42018088.00
2016/02/29,27.94,27.94,26.02,26.07,1346055,70975504.00
2016/03/01,26.20,26.66,25.00,26.37,813525,42373804.00
2016/03/02,26.12,28.20,26.09,27.65,1331011,72126624.00
2016/03/03,27.52,28.18,27.15,27.44,1033008,57176488.00
2016/03/04,27.44,27.54,25.21,25.70,1473012,76758192.00
2016/03/07,26.39,26.60,25.25,25.90,848298,44259788.00
2016/03/08,25.93,25.93,24.46,25.75,1087406,54597004.00
2016/03/09,25.12,25.90,24.50,24.93,722325,36321840.00
2016/03/10,25.01,25.33,24.79,25.09,914037,45844240.00
2016/03/11,24.70,25.93,24.70,25.45,983964,50045640.00
2016/03/14,25.56,27.09,25.56,26.69,1462838,77854480.00
2016/03/15,26.95,28.10,26.57,26.84,1661526,91078072.00
2016/03/16,26.93,27.20,25.86,25.96,1027097,54122536.00
2016/03/17,26.25,27.70,25.96,27.54,1590022,85690264.00
2016/03/18,27.55,28.76,27.55,28.27,1457690,82375096.00
2016/03/21,28.43,29.20,28.43,28.84,1302747,75013704.00
2016/03/22,28.76,29.04,28.20,28.75,1014962,58097856.00
2016/03/23,28.70,29.70,28.55,29.43,1004264,58716612.00
2016/03/24,29.45,30.10,28.50,29.45,1207783,70889112.00
2016/03/25,30.55,31.44,29.70,30.36,2349733,143879552.00
2016/03/28,30.30,30.70,29.19,30.18,1650596,98438152.00
2016/03/29,29.46,29.90,28.85,28.95,954591,55662264.00
2016/03/30,29.19,29.79,29.04,29.76,1015292,59787032.00
2016/03/31,29.75,30.78,29.75,30.25,1234532,74914104.00
2016/04/01,30.05,30.34,29.46,29.96,771629,46124192.00
2016/04/05,29.53,30.89,29.53,30.82,986956,60386224.00
2016/04/06,30.79,31.44,30.51,31.21,1398584,87016872.00
2016/04/07,31.21,31.95,30.83,31.15,1480384,93160632.00
2016/04/08,31.04,32.83,30.46,32.67,2601652,167516864.00
2016/04/11,32.95,33.58,32.15,33.29,2687356,176908192.00
2016/04/12,33.35,34.39,32.55,34.00,3539164,238246064.00
2016/04/13,33.95,34.23,33.44,33.93,2522132,170601200.00
2016/04/14,33.69,35.02,33.69,34.80,3276613,227044784.00
2016/04/15,34.85,35.17,33.95,34.55,3011300,209208032.00
2016/04/18,31.44,31.45,31.09,31.09,1451700,90696064.00
2016/04/19,30.09,30.53,29.30,29.73,7461897,444155040.00
2016/04/20,29.45,30.15,28.01,28.14,4766361,277652160.00
2016/04/21,28.20,28.70,27.70,27.89,2388397,135120240.00
2016/04/22,27.81,28.44,27.62,28.34,1660613,93447664.00
2016/04/25,28.39,28.39,27.25,27.48,2545672,140998208.00
2016/04/26,27.65,28.38,27.60,28.30,1822316,102222824.00
2016/04/27,28.40,29.64,28.40,29.11,3640141,213133728.00
2016/04/28,29.05,29.08,27.47,28.28,3252001,183152880.00
2016/04/29,28.19,28.19,27.45,27.75,2217345,123077400.00
2016/05/03,27.50,28.60,27.48,28.52,2327539,131314144.00
2016/05/04,28.38,29.36,28.26,28.57,2199988,126896280.00
2016/05/05,28.58,28.72,28.28,28.70,1353032,77323296.00
2016/05/06,28.85,28.93,27.70,27.71,1986664,112358224.00
2016/05/09,27.45,27.45,26.23,26.25,2224592,118858232.00
2016/05/10,26.05,26.65,25.97,26.15,804454,42247848.00
2016/05/11,26.30,26.65,25.99,26.07,854630,44972912.00
2016/05/12,25.90,26.55,25.53,26.27,1013095,52974052.00
2016/05/13,26.20,26.65,26.20,26.49,1061405,55933964.00
2016/05/16,26.75,26.89,26.45,26.76,1103975,59033756.00
2016/05/17,26.95,27.11,26.57,26.77,776027,41741068.00
2016/05/18,26.45,26.70,25.60,25.98,1083652,56414032.00
2016/05/19,25.95,26.75,25.81,26.01,1010444,53297488.00
2016/05/20,26.02,27.38,26.00,27.33,1450918,39046592.00
2016/05/23,27.46,28.02,26.88,28.01,3394073,93305712.00
2016/05/24,27.91,28.20,27.47,27.78,2234274,61973696.00
2016/05/25,27.29,27.69,26.73,26.88,3031007,82130512.00
2016/05/26,26.81,26.98,26.01,26.87,2586368,68166296.00
2016/05/27,26.62,27.20,26.62,26.90,1620188,43664492.00
2016/05/30,26.81,27.79,26.20,27.13,2157606,58710396.00
2016/05/31,27.13,28.25,27.13,28.12,3439063,95970048.00
2016/06/01,29.00,30.39,28.70,29.61,16008951,471485280.00
2016/06/02,29.01,29.45,28.62,29.01,9345024,270535264.00
2016/06/03,29.05,29.88,28.91,28.97,7361722,215722576.00
2016/06/06,28.99,29.16,28.75,28.92,3729665,107762448.00
2016/06/07,28.98,29.08,28.46,28.75,2914638,83443432.00
2016/06/08,28.65,29.33,28.60,29.06,4010835,115887968.00
2016/06/13,28.70,28.70,27.01,27.04,4772669,133180664.00
2016/06/14,27.00,27.38,26.66,26.94,2250797,60656300.00
2016/06/15,26.65,27.92,26.31,27.49,2718146,74449840.00
2016/06/16,27.52,27.61,27.00,27.09,2284786,62250804.00
2016/06/17,26.91,27.48,26.91,27.12,2112380,57446684.00
2016/06/20,27.02,27.10,26.58,26.72,2734581,73069632.00
2016/06/21,26.82,26.99,26.65,26.84,2712879,72770416.00
2016/06/22,26.90,27.10,26.60,27.03,1946524,52224724.00
2016/06/23,27.08,28.06,26.82,27.83,4522759,124332432.00
2016/06/24,27.50,27.73,26.62,27.09,2888454,78604328.00
2016/06/27,26.88,27.68,26.81,27.61,4750074,129275200.00
2016/06/28,27.06,28.48,26.76,28.33,16761931,457624672.00
2016/06/29,27.94,27.98,27.42,27.55,9141766,253066944.00
2016/06/30,27.53,27.62,27.06,27.25,3843193,104798192.00
2016/07/01,27.29,27.60,27.15,27.50,3961080,108301112.00
2016/07/04,27.53,28.30,27.49,27.97,7603067,212691968.00
2016/07/05,27.97,28.38,27.90,28.09,6989331,196386144.00
2016/07/06,27.89,28.35,27.80,28.27,4918967,137740624.00
2016/07/07,28.32,28.77,28.03,28.63,6634636,188645680.00
2016/07/08,28.51,28.65,28.16,28.39,3487735,98916264.00
2016/07/11,28.44,28.64,28.08,28.10,4712104,133812960.00
2016/07/12,28.23,28.80,27.91,28.72,4939596,139963888.00
2016/07/13,28.75,30.90,28.75,30.27,12014995,359756928.00
2016/07/14,30.57,30.58,29.48,29.83,6720259,200488720.00
2016/07/15,30.10,31.37,29.90,30.89,10131574,309245440.00
2016/07/18,30.53,30.86,30.19,30.43,4400788,133969520.00
2016/07/19,30.19,30.30,29.61,29.94,3765172,112536296.00
2016/07/20,29.98,30.28,29.70,29.89,2707261,81227528.00
2016/07/21,29.59,30.18,29.59,29.95,3459972,103656864.00
2016/07/22,29.89,29.95,28.90,29.02,4444445,129710008.00
2016/07/25,29.23,29.79,29.20,29.39,3121883,92029912.00
2016/07/26,29.36,29.90,29.19,29.82,3340845,99156864.00
2016/07/27,29.90,30.02,27.78,27.91,5299711,151758240.00
2016/07/28,28.06,28.45,27.65,28.14,3700874,103999680.00
2016/07/29,28.36,28.91,28.15,28.60,3767294,107901736.00
2016/08/01,28.70,29.50,28.10,29.24,5298534,154028688.00
2016/08/02,29.00,29.80,28.60,29.70,5090730,149139440.00
2016/08/03,30.55,31.31,30.11,30.24,14424234,442886752.00
2016/08/04,29.85,30.26,29.39,30.03,7607028,226290560.00
2016/08/05,29.73,30.10,29.30,29.34,4393458,130593728.00
2016/08/08,29.08,29.54,28.60,29.49,3453790,100730848.00
2016/08/09,29.41,30.88,29.33,30.76,8240029,251429520.00
2016/08/10,30.80,31.48,30.23,30.42,5368982,165891248.00
2016/08/11,30.32,31.11,30.22,30.64,6195013,190680416.00
2016/08/12,30.47,30.75,30.03,30.54,3328350,100998600.00
2016/08/15,30.58,31.95,30.41,31.45,7321202,228783232.00
2016/08/16,31.45,33.27,31.16,32.86,8642142,281523552.00
2016/08/17,32.80,33.68,32.36,32.94,5486843,181183600.00
2016/08/18,32.66,33.21,32.41,32.67,3450743,112914960.00
2016/08/19,32.31,32.93,31.85,32.21,4597256,148612944.00
2016/08/22,32.42,33.58,32.06,32.49,5575835,183199200.00
2016/08/23,32.24,33.86,32.23,33.44,6003562,199850032.00
2016/08/24,33.45,34.60,32.77,32.80,6673366,225308336.00
2016/08/25,32.53,33.34,32.34,32.96,4348829,142796368.00
2016/08/26,33.01,35.00,33.00,34.86,10633426,364715584.00
2016/08/29,34.80,36.18,34.18,34.87,10992158,386613056.00
2016/08/30,34.86,35.45,33.75,34.77,13942424,479158592.00
2016/08/31,34.22,34.70,33.10,34.15,13052768,442391680.00
2016/09/01,33.77,34.10,32.59,33.11,11245540,372509472.00
2016/09/02,32.90,33.48,32.00,32.06,8594725,279968448.00
2016/09/05,32.34,33.28,32.03,32.12,10254320,335009184.00
2016/09/06,32.32,34.43,32.26,34.30,14000772,466247360.00
2016/09/07,34.39,35.48,34.06,34.24,13587025,473214272.00
2016/09/08,34.20,34.23,33.34,33.78,7345948,247230608.00
2016/09/09,33.60,33.68,32.50,32.56,6440799,212424256.00
2016/09/12,31.51,32.18,31.00,31.31,5217357,165755648.00
2016/09/13,31.57,32.30,31.50,31.85,4591751,146161344.00
2016/09/14,31.58,32.10,31.31,31.50,3063645,96797680.00
2016/09/19,31.60,31.96,31.26,31.45,2856405,90224544.00
2016/09/20,31.58,32.75,31.48,32.07,5086149,163471760.00
2016/09/21,32.00,32.08,31.37,31.72,3034110,95962176.00
2016/09/22,32.00,32.10,31.45,31.54,4103899,129978896.00
2016/09/23,31.65,31.97,31.42,31.61,2577142,81608496.00
2016/09/26,31.40,31.40,29.58,29.60,7185888,217937264.00
